,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
OTU1,9068,26015,11686,24251,11536,24243,26277,50270,23294,37529,10729,11912,9544,3212,7413,5430,17125,17695,12827,5198,5589,4606,2437,11349,2342,4750,2110,2896,4026,3445,839,7929,1329,756,1367,1425,889,10679,1241,282
OTU2,2289,2204,2686,29675,6852,38273,1682,6789,26062,5115,1153,56911,5198,1097,1603,1585,4749,819,1386,716,1523,400,1780,1985,1831,458,1608,468,13390,978,336,882,945,876,1256,1042,617,18488,1372,287
OTU3,10130,2929,7937,7453,8184,2364,14773,2336,4596,3461,13100,3856,1374,7901,6116,14614,11053,18114,6324,12659,17792,5174,15105,4576,3141,3262,19383,1371,7786,4617,16848,4997,21714,20508,10248,6655,12178,2662,5681,11607
OTU4,835,2293,443,370,426,288,685,185,524,248,29345,368,999,800,817,691,307,253,581,1115,285,361,186,656,139,429,128,9255,561,1744,395,552,403,316,423,205,778,553,167,175
OTU5,6662,1817,10762,9761,3183,557,1014,460,3270,4602,1317,3587,14765,7090,4947,3662,10658,1343,8293,3048,3104,1891,2447,4787,2891,2585,777,511,2780,1454,386,6975,1769,1307,6371,7642,4228,4712,7934,420
OTU6,16,47,93,12,370,21,96,94,17,29,237,18,130,558,905,3975,762,2428,2494,13196,24772,28586,3162,6324,7671,1946,876,735,393,25592,10,262,22783,7076,3321,15860,5711,3841,8527,22033
OTU7,128,109,140,130,254,313,258,206,76,156,130,473,762,230,330,490,194,222,611,237,62,62,133,168,48,87,58,33,784,316,61,108,55,114,51,68,100,223,44,23
OTU8,597,656,375,201,1141,7642,2807,913,248,1178,148,1109,9344,642,962,1396,527,1948,1031,322,183,96,83,122,123,75,64,127,13973,504,275,126,328,104,71,170,99,173,149,17
OTU9,245,715,586,210,647,1446,313,1036,852,1030,465,642,643,477,623,648,3326,393,942,981,473,326,256,725,211,1605,156,451,377,335,77,862,167,60,170,179,141,1530,210,61
OTU10,161,54,148,66,264,33,192,208,15,15,321,66,82,592,1219,5702,727,5205,799,6176,3347,9611,2901,3475,5551,5241,5167,429,495,3202,3182,2122,4877,4301,1250,5897,2975,1567,2002,5517
OTU11,255,4892,358,1723,708,421,1670,239,194,287,144,85,98,2099,3964,486,908,2104,3182,1044,550,361,203,2768,133,194,354,8222,401,710,240,1639,504,238,6973,491,2678,636,375,245
OTU12,680,1369,383,458,2298,403,820,134,331,183,114,182,148,5657,635,415,2518,634,620,537,1015,461,540,2226,494,192,183,16486,117,515,125,195,697,311,998,1593,707,783,3768,311
OTU13,563,1135,2442,411,933,3396,2382,843,1453,2516,2577,195,421,1831,1229,1059,834,1060,2361,537,1676,663,1342,913,505,488,674,341,580,452,206,399,353,85,431,198,711,306,201,95
OTU14,456,93,279,205,217,25,106,54,781,228,659,266,534,1058,270,911,237,211,256,267,279,126,388,388,51,298,297,29,354,762,141,486,81,422,244,61,178,250,118,161
OTU15,431,168,267,168,1267,64,757,98,65,54,123,34,41,573,264,302,463,380,1121,150,623,564,1147,981,625,390,9291,113,285,1197,4734,192,545,1242,447,2482,1384,3356,321,875
OTU16,77,938,78,104,191,1034,1680,179,199,680,75,61,56,122,147,45,45,891,284,114,26,47,5,82,41,70,10,49,145,76,52,99,8,11,11,22,6,24,19,3
OTU17,4110,587,2316,692,3389,3086,435,234,1032,14823,484,556,2357,1969,1639,2101,3541,1347,895,1014,888,255,516,346,438,247,153,584,17862,1415,65,173,502,875,347,850,354,7199,750,141
OTU18,348,24270,1460,5713,8098,7781,15230,13005,14888,1583,2525,600,606,10248,7467,1077,7078,4946,2495,2964,399,191,193,422,177,242,153,11123,2733,562,280,662,766,198,448,237,334,2401,1148,138
OTU19,193,21,41,16,126,18,218,31,5,7,326,62,86,323,483,1833,266,931,406,1001,2728,1537,1667,1373,3363,3285,5179,127,198,2321,6188,814,1366,1428,427,1096,1003,975,1083,5739
OTU20,258,58,249,274,367,44,383,67,34,33,561,56,107,4107,866,2496,484,1886,833,769,1679,1295,3768,9261,4595,1180,5078,202,526,2660,3513,2334,241,644,951,1242,1609,1167,2266,2131
OTU21,1356,607,4549,714,965,278,84,462,254,152,209,614,99,133,511,999,1130,294,1131,245,212,164,733,321,533,516,102,101,2192,508,52,351,472,177,862,430,309,2122,774,65
OTU22,13,8,38,7,28,1,236,29,4,1,75,2,19,123,237,5234,135,511,534,222,2566,251,1020,672,1224,459,25,157,94,5228,868,117,9054,4287,1091,9410,1389,4125,4355,1698
