,Hgcf_01,Hgcf_02,Hgcf_03,Hgcf_04,Hgcf_05,Hgcf_06,Hgcf_07,Hgcf_08,Hgcf_09,Hgcf_10,PLgcf_01,PLgcf_02,PLgcf_03,PLgcf_04,PLgcf_05,PLgcf_06,PLgcf_07,PLgcf_08,PLgcf_09,PLgcf_10,PMgcf_01,PMgcf_02,PMgcf_03,PMgcf_04,PMgcf_05,PMgcf_06,PMgcf_07,PMgcf_08,PMgcf_09,PMgcf_10,PHgcf_01,PHgcf_02,PHgcf_03,PHgcf_04,PHgcf_05,PHgcf_06,PHgcf_07,PHgcf_08,PHgcf_09,PHgcf_10
Alkanindiges_illinoisensis,6.27E-05,0,0,0,0,0,0,0,0,0,0,0,0.000162066,0,0,1.01E-05,0,1.99E-05,1.00E-05,0,0,0,0,0,0,0,0,0,1.05E-05,0,1.28E-05,1.27E-05,0,0,0,0,0,0,0,0
Brevundimonas_staleyi,0,0,3.17E-05,1.91E-05,3.07E-05,1.82E-05,0.000751047,7.96E-05,1.03E-05,8.75E-05,0,0,4.99E-05,0,7.75E-05,1.01E-05,3.92E-05,1.99E-05,7.02E-05,2.00E-05,1.02E-05,0,0,0,0,9.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus_sanfranciscensis,0.000867131,0,0,0,0,0,0,0,0,0,3.20E-05,1.08E-05,0.00260553,2.01E-05,7.75E-05,0.000615739,4.89E-05,6.95E-05,0.000110333,2.00E-05,0,0,0,0,0,0,0,0,0.00011542,0,1.28E-05,5.06E-05,0,0,0,0,0,0,0,0
Peredibacter_starrii,1.04E-05,0,1.06E-05,0,0,0,0,0,0,0,0,0,0.0002244,0,1.11E-05,1.01E-05,1.96E-05,1.99E-05,0,0,0,0,0,0,0,0,0,0,2.10E-05,0,0,0,0,0,0,0,0,0,0,0
Coprothermobacter_proteolyticus,4.18E-05,0,0,9.53E-06,0,9.08E-06,0,2.98E-05,5.15E-05,1.09E-05,0,0,1.25E-05,1.01E-05,0.000143992,0,0,0,0,0,0,0,0,0,0,9.79E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_schindleri,0.000177605,0,0,0,1.02E-05,9.08E-06,3.85E-05,0,0,2.19E-05,0,1.08E-05,0.001533398,0.001097363,0.000265831,0.00022207,0.000166394,0.000178745,0.000160485,0.000109876,0,0,0,0,0,0,0,1.06E-05,0.000146898,3.16E-05,0,2.53E-05,0,0,0,0,0,0,0,0
Acinetobacter_lwoffii,0.000167158,0,1.06E-05,0,7.15E-05,0,5.78E-05,1.99E-05,0,0,1.07E-05,9.69E-05,0.000735532,1.01E-05,8.86E-05,6.06E-05,0.000107667,0.000148954,0.000110333,2.00E-05,1.02E-05,0,0,9.64E-06,0,9.79E-06,0,0,0.000629564,3.16E-05,1.28E-05,1.27E-05,0,0,0,0,0,0,0,0
Deinococcus_wulumuqiensis,3.13E-05,1.09E-05,0,0,0,9.08E-06,0.000154061,1.99E-05,1.03E-05,8.75E-05,0,1.08E-05,0.000984865,0.00102689,0.000143992,5.05E-05,2.94E-05,2.98E-05,8.02E-05,4.00E-05,0,0,0,0,1.01E-05,9.79E-06,0,0,1.05E-05,3.16E-05,0,2.53E-05,0,0,0,0,0,0,0,0
Exiguobacterium_undae,4.18E-05,1.09E-05,0,1.91E-05,1.02E-05,5.45E-05,6.74E-05,3.98E-05,1.03E-05,9.85E-05,1.07E-05,0,0.0001122,0,3.32E-05,2.02E-05,9.79E-05,6.95E-05,3.01E-05,5.99E-05,0,0,0,0,0,0,0,1.06E-05,0.000146898,0,0,0,0,0,0,0,0,0,0,0
Rhizobium_rosettiformans,3.13E-05,0,0,0,2.04E-05,0,0,0,0,0,0,0,0.011768519,0.001127566,0.000675653,7.07E-05,0.000127243,7.94E-05,7.02E-05,0.000269695,0,0,1.02E-05,0,0,0,0,0,4.20E-05,3.16E-05,0,0,0,0,0,9.62E-06,0,9.96E-06,0,0
