,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100
Hgcf_01,9068,2289,10130,835,6662,16,128,597,245,161,255,680,563,456,431,77,4110,348,193,258,1356,13,453,127,2220,158,311,155,36,2356,35,103,46,1863,282,2292,819,919,33,110,58,322,2914,0,1164,9,716,1451,354,0,0,207,49,31,9,0,46,105,32,139,24,129,88,51,100,631,21,95,40,60,6,458,2,55,245,18,0,2,49,26,8,0,112,42,86,2,47,26,206,30,2,4,8,1,135,18,2,1,58,35
Hgcf_02,26015,2204,2929,2293,1817,47,109,656,715,54,4892,1369,1135,93,168,938,587,24270,21,58,607,8,3365,137,44,231,230,651,89,3706,90,89,21,54,23,487,60,98,14,40,20,69,190,3,1,10,1438,75,62,1,0,4,5,17,6,0,35,139,19,80,360,19,194,15,27,504,13,52,17,44,3,274,15,7,936,51,0,3,5,152,40,7,51,20,36,7,9,26,113,55,1,8,5,3,0,3,6,2,8,10
Hgcf_03,11686,2686,7937,443,10762,93,140,375,586,148,358,383,2442,279,267,78,2316,1460,41,249,4549,38,4775,158,39,230,1393,305,23,515,2910,34,33,699,136,385,101,48,51,48,36,2644,531,36,1,0,3575,891,72,1,0,0,36,21,16,1,12,104,9,103,72,775,20,29,128,450,145,31,26,221,24,109,7,2,48,16,0,12,37,40,56,265,424,13,45,92,13,13,343,14,17,10,5,11,15,2,18,13,17,104
Hgcf_04,24251,29675,7453,370,9761,12,130,201,210,66,1723,458,411,205,168,104,692,5713,16,274,714,7,2304,55,105,257,254,51,2,804,80,393,44,40,55,3564,42,266,28,27,64,122,146,124,0,39,250,52,33,1,0,0,6,6,8,13,24,60,29,318,110,29,61,33,108,64,30,32,74,59,35,909,1,52,89,1,27,14,14,44,21,11,40,115,25,12,7,23,30,1,7,4,1,0,32,5,2,2,6,254
Hgcf_05,11536,6852,8184,426,3183,370,254,1141,647,264,708,2298,933,217,1267,191,3389,8098,126,367,965,28,511,268,88,614,407,2154,8,5405,344,188,35,260,237,101,107,3047,57,76,51,1386,1357,0,0,13,1083,74,94,11,0,2,42,25,18,12,20,653,30,1317,658,72,321,83,210,642,35,145,21,374,12,958,6,45,361,8,1,9,53,147,79,20,62,22,46,11,7,39,41,111,49,30,11,4,46,2,32,8,42,44
Hgcf_06,24243,38273,2364,288,557,21,313,7642,1446,33,421,403,3396,25,64,1034,3086,7781,18,44,278,1,392,12,57,142,123,94,2,464,111,11,31,15,17,29,90,98,15,160,6,96,267,0,2,0,241,62,25,0,0,0,9,8,5,0,67,517,53,102,65,52,28,35,25,362,14,4,22,21,3,701,13,55,182,3,0,1,6,39,5,10,73,10,30,9,11,20,190,4,5,2,4,1,7,7,2,2,3,3
Hgcf_07,26277,1682,14773,685,1014,96,258,2807,313,192,1670,820,2382,106,757,1680,435,15230,218,383,84,236,422,110,39,233,142,82,5,1333,61,80,48,125,126,289,690,2342,40,114,12,303,372,1,19,10,739,63,34,22,1,12,86,20,34,2,24,228,114,315,247,15,130,103,90,135,217,39,24,77,60,1454,4,67,134,13,0,11,27,114,202,8,126,333,45,9,27,28,354,8,473,31,90,85,13,56,7,4,91,36
Hgcf_08,50270,6789,2336,185,460,94,206,913,1036,208,239,134,843,54,98,179,234,13005,31,67,462,29,108,117,57,105,63,71,40,113,27,30,17,16,78,79,35,59,30,21,41,129,185,0,5,51,318,82,14,0,0,2,26,24,5,1,21,2298,38,123,250,9,16,73,59,489,312,33,8,41,7,833,12,39,130,21,0,325,6,82,50,5,73,82,39,7,4,13,84,3,6,5,16,1,5,21,36,7,9,19
Hgcf_09,23294,26062,4596,524,3270,17,76,248,852,15,194,331,1453,781,65,199,1032,14888,5,34,254,4,451,9,804,327,1052,37,5,301,312,11,42,154,43,86,21,37,5,118,21,42,616,15,1,1,940,163,334,1,4,3,7,3,37,3,4,150,8,1312,39,315,36,14,33,249,12,16,117,32,3,513,5,9,37,0,12,3,2,20,2,11,558,4,57,10,7,13,333,74,0,3,2,2,26,0,0,1,7,3
Hgcf_10,37529,5115,3461,248,4602,29,156,1178,1030,15,287,183,2516,228,54,680,14823,1583,7,33,152,1,310,90,53,136,115,31,14,194,132,37,32,359,43,324,35,48,11,33,25,58,108,0,5,9,286,1122,14,0,0,393,4,8,16,0,12,48,20,72,36,75,20,43,23,64,3,5,28,27,4,266,0,5,40,17,1,2,1,80,6,6,915,22,46,6,10,10,25,3,0,1,9,0,7,0,4,1,2,6
