,Haemophilus_parainfluenzae,Neisseria_subflava,Porphyromonas_gingivalis,Leptotrichia_hongkongensis,Porphyromonas_catoniae,Lautropia_mirabilis,Veillonella_dispar,Tannerella_forsythia,Porphyromonas_endodontalis,Dialister_invisus,Prevotella_nanceiensis,Prevotella_nigrescens,Neisseria_oralis,Parvimonas_micra,Cardiobacterium_hominis,Treponema_medium,Alloprevotella_tannerae,Catonella_morbi,Prevotella_jejuni,Leptotrichia_goodfellowii,Eikenella_corrodens,Selenomonas_sputigena,Prevotella_shahii,Prevotella_oris,Selenomonas_infelix,Cardiobacterium_valvarum,Campylobacter_gracilis,group
Hgcf_01,0.023913997,0.069600284,0.000167158,0.007104202,0.007835517,0.042938632,0.00363568,0.00201634,0.002695418,0.001326814,0.02354834,0.001086525,0.019463424,0.002946154,0.030443595,0.00035521,0.000992499,0.000647736,0.002559602,0.00667586,0.006184835,0.000397,0.000637289,0.001138762,0.000417894,0.013686036,0.003061075,GCF
Hgcf_02,0.023936228,0.01973327,0.000510437,0.014867829,0.001878842,0.00637503,0.263580877,0.000228068,0.000629901,0.001487869,0.000477856,0.000966572,0.000586459,0.000249788,0.002106909,0.000228068,0.000564739,0.000564739,0.010165295,0.000347531,0.000857968,0.000727644,0.000651621,0.001770238,0.000380113,0.000390973,0.010849497,GCF
Hgcf_03,0.028347986,0.113581915,0.00098152,0.004042174,0.090236515,0.024443014,0.015408808,0.000432713,0.002627941,0.001667529,0.000411605,0.000358835,0.007377231,0.001435341,0.005709702,0.00180473,0.000327173,0.002511847,0.000506591,0.001973594,0.007166151,0.000717671,0.002153012,0.001118722,0.000401051,0.001920824,0.004432671,GCF
Hgcf_04,0.282683661,0.092983158,0.000114312,0.004362902,0.004601052,0.006591983,0.054421963,0.000152416,0.00261012,0.000523929,0.001000229,0.003743713,0.000381039,0.000523929,0.001428898,0.000581085,0.000304832,0.000581085,0.000847813,0.000438195,0.001133592,0.000400091,0.002781588,0.002171925,0.00028578,0.000466773,0.003067368,GCF
Hgcf_05,0.070026981,0.032530047,0.003781375,0.023485406,0.020766904,0.034635353,0.082761017,0.001287712,0.003750715,0.002738942,0.000899354,0.001931567,0.002657183,0.002422124,0.01531968,0.000562096,0.00148189,0.004455891,0.003689396,0.000981114,0.006704276,0.001011773,0.001144632,0.002003107,0.00146145,0.012325239,0.033306762,GCF
Hgcf_06,0.347380555,0.005055547,0.000190604,0.003657784,0.000989326,0.02800973,0.070623366,0.000163375,0.000399361,0.000108917,0.000517354,9.98E-05,0.000136146,0.000154299,0.002468777,0.000145222,3.63E-05,0.000208757,0.001651902,0.000299521,0.001016555,7.26E-05,0.000163375,0.000254139,0.000190604,0.001107319,0.002405243,GCF
Hgcf_07,0.016195657,0.009763613,0.000924366,0.007895624,0.003360454,0.004188532,0.146646767,0.00209908,0.003687834,0.001059169,0.000375524,0.000770305,0.001203601,0.00121323,0.003591546,0.003841895,0.000375524,0.001184344,0.00129026,0.002031679,0.000471812,0.000847335,0.000577729,0.000828078,0.000442925,0.006480189,0.015184632,GCF
Hgcf_08,0.067509248,0.004574202,0.000934728,0.001332485,0.001551251,0.002326876,0.129320632,0.000308261,0.000666242,0.001163438,0.000566803,0.000308261,0.000159103,0.000775625,0.001859512,0.003241717,0.000328149,0.000437532,0.001292709,0.000208822,0.000447476,0.001133606,0.002008671,0.003768744,0.000725906,0.000556859,0.005618313,GCF
Hgcf_09,0.268525387,0.033691889,0.000175157,0.003410402,0.010014837,0.010633037,0.153395978,5.15E-05,0.000350313,9.27E-05,0.008294181,0.000113337,0.001586713,0.000443043,0.006377761,0.000175157,0.000164853,0.000412133,0.000381223,0.000659413,0.001308523,6.18E-05,0.000267887,0.000206067,0.000103033,0.00055638,0.001226096,GCF
Hgcf_10,0.055961576,0.050349008,0.00031728,0.002002144,0.004452857,0.162173694,0.017319096,7.66E-05,0.000361042,0.000984661,0.000579856,0.000404805,0.003927704,0.000470449,0.001214415,5.47E-05,5.47E-05,0.000295398,0.000437627,0.00048139,0.000568915,0.000284458,0.000426687,0.000437627,0.000207873,0.000700203,0.00080961,GCF
Hsal_01,0.020282102,0.036159722,0.004855673,0.00504904,0.006015878,0.017950949,0.006134047,0.001063521,0.001632881,0.00020411,0.012246608,0.00288977,0.0042326,0.000805698,0.001783278,0.000644558,0.001364315,0.001042036,0.001858476,0.000494161,0.000945352,0.000333022,0.000880896,0.000730499,0.00056936,0.000741242,0.000429706,Sal
Hsal_02,0.090029458,0.023629064,0.000408844,0.003501379,0.074514367,0.01253787,0.022224319,0.001069283,0.00062899,0.000807204,0.008124456,0.000639473,0.000503192,0.001394262,0.001299913,8.39E-05,0.000283046,0.001195081,0.002515961,0.000262079,0.001970836,0.000251596,0.000597541,0.000733822,0.000262079,0.000576574,0.000723339,Sal
Hsal_03,0.03641976,0.011821953,0.007116751,0.024994373,0.00273309,0.029731728,0.020717892,0.001521956,0.008552963,0.002047138,0.004147866,0.004908843,0.003097502,0.001672008,0.00069667,0.005337563,0.002636628,0.003461914,0.015926946,0.00042872,0.00091103,0.000975338,0.000685952,0.002615192,0.00042872,0.000514464,0.001629136,Sal
