tax.species,tax.phylum
,Firmicutes
Haemophilus_parainfluenzae,Proteobacteria
,Fusobacteria
,Bacteroidetes
Neisseria_subflava,Proteobacteria
Porphyromonas_gingivalis,Bacteroidetes
,Actinobacteria
Leptotrichia_hongkongensis,Fusobacteria
Porphyromonas_catoniae,Bacteroidetes
,Proteobacteria
Lautropia_mirabilis,Proteobacteria
Veillonella_dispar,Firmicutes
Tannerella_forsythia,Bacteroidetes
Porphyromonas_endodontalis,Bacteroidetes
,Spirochaetes
Dialister_invisus,Firmicutes
Prevotella_nanceiensis,Bacteroidetes
,Candidatus_Saccharibacteria
Prevotella_nigrescens,Bacteroidetes
Solobacterium_moorei,Firmicutes
Neisseria_oralis,Proteobacteria
Parvimonas_micra,Firmicutes
Peptostreptococcus_stomatis,Firmicutes
Cardiobacterium_hominis,Proteobacteria
Granulicatella_elegans,Firmicutes
Capnocytophaga_sputigena,Bacteroidetes
Phocaeicola_abscessus,Bacteroidetes
,Cyanobacteria/Chloroplast
Stomatobaculum_longum,Firmicutes
Prevotella_salivae,Bacteroidetes
Streptococcus_intermedius,Firmicutes
Oribacterium_sinus,Firmicutes
Treponema_medium,Spirochaetes
Alloprevotella_tannerae,Bacteroidetes
Catonella_morbi,Firmicutes
Prevotella_pallens,Bacteroidetes
Prevotella_jejuni,Bacteroidetes
Treponema_lecithinolyticum,Spirochaetes
Dialister_pneumosintes,Firmicutes
Abiotrophia_defectiva,Firmicutes
Prevotella_aurantiaca,Bacteroidetes
,Absconditabacteria
Eubacterium_sulci,Firmicutes
Treponema_amylovorum,Spirochaetes
Fretibacterium_fastidiosum,Synergistetes
Mycoplasma_faucium,Tenericutes
,Tenericutes
Leptotrichia_goodfellowii,Fusobacteria
Prevotella_pleuritidis,Bacteroidetes
Eikenella_corrodens,Proteobacteria
Selenomonas_sputigena,Firmicutes
Prevotella_shahii,Bacteroidetes
Anaeroglobus_geminatus,Firmicutes
Odoribacter_denticanis,Bacteroidetes
Treponema_maltophilum,Spirochaetes
Corynebacterium_durum,Actinobacteria
Prevotella_oris,Bacteroidetes
Capnocytophaga_leadbetteri,Bacteroidetes
Selenomonas_infelix,Firmicutes
Cardiobacterium_valvarum,Proteobacteria
,
Selenomonas_noxia,Firmicutes
Actinomyces_graevenitzii,Actinobacteria
,Deinococcus-Thermus
,Synergistetes
Lactobacillus_sanfranciscensis,Firmicutes
Prevotella_baroniae,Bacteroidetes
Actinomyces_massiliensis,Actinobacteria
Rhizobium_rosettiformans,Proteobacteria
Johnsonella_ignava,Firmicutes
Prevotella_dentalis,Bacteroidetes
Wolinella_succinogenes,Proteobacteria
Prevotella_micans,Bacteroidetes
Alloprevotella_rava,Bacteroidetes
Megasphaera_micronuciformis,Firmicutes
Olsenella_profusa,Actinobacteria
Prevotella_oralis,Bacteroidetes
Prevotella_oulorum,Bacteroidetes
Acinetobacter_junii,Proteobacteria
,Elusimicrobia
Acinetobacter_lwoffii,Proteobacteria
Lactobacillus_salivarius,Firmicutes
Scardovia_wiggsiae,Actinobacteria
Selenomonas_artemidis,Firmicutes
Prevotella_saccharolytica,Bacteroidetes
Capnocytophaga_granulosa,Bacteroidetes
Desulfomicrobium_orale,Proteobacteria
Prevotella_loescheii,Bacteroidetes
Treponema_parvum,Spirochaetes
Acinetobacter_schindleri,Proteobacteria
Akkermansia_muciniphila,Verrucomicrobia
Bulleidia_extructa,Firmicutes
Dietzia_cercidiphylli,Actinobacteria
Capnocytophaga_haemolytica,Bacteroidetes
Pseudoramibacter_alactolyticus,Firmicutes
Pyramidobacter_piscolens,Synergistetes
,Chloroflexi
Eggerthia_catenaformis,Firmicutes
Prevotella_marshii,Bacteroidetes
Parabacteroides_goldsteinii,Bacteroidetes
Prevotella_fusca,Bacteroidetes
Mycoplasma_salivarium,Tenericutes
Propionibacterium_acnes,Actinobacteria
Treponema_denticola,Spirochaetes
Shuttleworthia_satelles,Firmicutes
Faecalibacterium_prausnitzii,Firmicutes
Streptococcus_mutans,Firmicutes
Prevotella_maculosa,Bacteroidetes
Gemmiger_formicilis,Firmicutes
Deinococcus_ficus,Deinococcus-Thermus
Slackia_exigua,Actinobacteria
Blautia_wexlerae,Firmicutes
Bacteroides_plebeius,Bacteroidetes
Deinococcus_wulumuqiensis,Deinococcus-Thermus
Ruminococcus_bromii,Firmicutes
Alloscardovia_omnicolens,Actinobacteria
Roseburia_inulinivorans,Firmicutes
Brevundimonas_staleyi,Proteobacteria
Prevotella_copri,Bacteroidetes
Alcanivorax_venustensis,Proteobacteria
Actinomyces_dentalis,Actinobacteria
Exiguobacterium_undae,Firmicutes
Lactobacillus_mucosae,Firmicutes
Fusicatenibacter_saccharivorans,Firmicutes
Prevotella_enoeca,Bacteroidetes
